Code	Ks	Percent
Lycopodium_annotinum_LYCOα	0.40794	0.2332
Diphasiastrum_digitatum_LYCOα	0.41963	0.2459
Lycopodium_deuterodensum_LYCOα	0.53691	0.2625
Dendrolycopodium_obscurum_LYCOα	0.46339	0.0621
Lycopodiella_appressa_LYAPα	0.46405	0.2471
Pseudolycopodiella_caroliniana_LYAPα	0.60209	0.2596
Huperzia_lucidula_HUSQα	0.2216	0.2365
Huperzia_selago_HUSQα	0.2138	0.2156
Huperzia_myrsinites_HUSQα	0.40703	0.2714
Huperzia_squarrosa_HUSQα	0.39022	0.2875
Selaginella_kraussiana_SEKRα	1.9688	0.1617
Isoetes_tegetiformans_ISTEβ	0.31425	0.0763
Isoetes_sp._ISTEβ	0.33673	0.0742
